Description,Title
Its  an awesome  phone.. i got d delivery b4 the  estimated  date..all  functions n apps  working  properly..no issues till date..camera  resolution is superb.. n best  part  is  I bought ths in exchange  offer..so really  hapiieee..!!!!READ MORE,really  gud..
I like this as its name SAMSUNG I lije its perfomance it elliminate hang problme i love its camera's front and rear both.READ MORE,Its soooo  nice..
very good speed on data uses and function in built.READ MORE,At par satisfaction.
Very nice phone...!!!!READ MORE,Samsung J5 6 Edition
Nice PhoneREAD MORE,Samsung J5 2016
"Well, for this price you may get lot more features in other brands. Still, it is a good buy for Samsung fans, for its reliability and brand name.It is not big as 5.5 inch phone, or not small (for a Moto G-1 user). Perfect size to hold.READ MORE",Good Buy for Samsung Fans
some time hanging and heating problemREAD MORE,GOOD
"i appreciate to team of galaxy j5-6 makers, its a good product in all way,READ MORE",galaxy j5-6 new
Really nice product with metallic body and very good look. Only problem the mobile ringing volume is little bit lowREAD MORE,Nice Product
Average phoneREAD MORE,Samsung j5 2016
goodREAD MORE,good as price range
Feels like i got myself a high end smartphone at a cheaper price.READ MORE,Nice deal
Satisfied the expectationREAD MORE,Good one
Very good..but price should be little lowREAD MORE,Good one
Very good productREAD MORE,Good
I'm really happy with the phone.  Working perfectlyREAD MORE,Nice product
Battery good.. Camera good... Perfect phoneREAD MORE,Good mobile at reasonable price
"Good looking , Good performance. Nice display.But Speaker is not that much good.READ MORE",Amazing Product
This product is good.I have not found any problem like earlier mobile sent.READ MORE,thanks for the prompt service.
As we compare to the branded segment this  is best at this price rage but we are missing so many features other brands have. over all this is a good productREAD MORE,Good product with low specifications
Best Phone from Samsung...Very usefull for daily needs......READ MORE,Excellent SAMSUNG J 5 2016
Nyc productREAD MORE,Good
Good performanceREAD MORE,Good
"Nice phone, in this range.READ MORE",Excellent
This is a great mobile with great looks and fearures and brand commitment of samsungREAD MORE,Nice mobile from samsung
Good mobileREAD MORE,Samsung j5 6 batary back up super nice phone
"Excellent product at budget price.battery back up good, camera quality is goodREAD MORE",Care about customet
Good value for money. Also fast delivery by flipkartREAD MORE,Nice product
Ekart's delivery was quick and j5 is a worth buying phoneREAD MORE,Good product worth buying
"As per my requirement , hand set working fine.READ MORE",Product quality is good
The moble as awsome but camera little bit disappointing except everything is perfectREAD MORE,Amazing product
"Pros of the Phone:1. Made in India.2. Good battery life, lasts me for 2 days 3. Sturdy and good size for the display.cons:1. Bad speaker, cant believe its so low and that's why it loses a star, if you plan to talk on this phone using the speaker, then just forget about it.2. Low audible  ringtone, the ringtones which ship with the phone are barely audible ,  but this can be corrected by downloading a loud ringtone App, had the loud ringtone app not worked on this phone , i would have re...READ MORE",A Made in India Phone !
Very nice mobile rate best priceREAD MORE,Samsung j5
It's a power packed device with decent ram and inbuilt. Apps can be transferred to SD card. Battery is 3000mah last a whole very smoothly .Cheap Chinese phones provide heavy ram n inbuilt but never think of SAR value which affects our body.So go for branded alws. J5 is phone with look n power.READ MORE,Don't let u down
1st ever samsung mid range phone with awesome lookZz.Thumbs up.But price should be around 9-10k.READ MORE,Don't think just buy it..
"Camera,Disply,processor are best in this  range.READ MORE",Best deal....
I got my mobile today...fast delivery...no hange.. easy to use...Some times heatingREAD MORE,Nice One
Where as Other Phone work properlyREAD MORE,Network not work in rural areas.
Worth for moneyREAD MORE,J5 is Jay jay
Good performance..!! good Battery life..!!READ MORE,Suber Device
"The phone is absolutely awesome but the,The speaker is below average does not go in hand with the phone performance.The camera lags while processing the pictures.Apart from this there no drawback for this phone and its awesome phone in this price range.READ MORE",Phone Performance update
Sound on my sony headphone is excellentBut loud speaker performance is very bad.READ MORE,loud speaker problem
i liked this phone alot..the texture color..and the performance ..camera front and back...superb i will reccomend this phoneREAD MORE,Good and Comfty
"Delivery of the product was pretty fast as expected by flipkart. Those were the past days where the same old design of Samsung phone used to bore everyone, But with the all new J5/7 (6) it specially  changed my perspective towards the new era of phone by Samsung. Phone is pretty decent in new looks and feels exclusive. Performance and camera quality are improved. The only problem I encountered with the phone is it heats up little fast even with the moderate usage. I hope Samsung will fix thes...READ MORE",New era in budget phone by samsung
It's feature is very good as per market trend. I am using this for last 5 - 7 days... it's function is good... nice look also...i luvREAD MORE,Awesome
"Phone received with good condition & product is also good.Good,speed,camera quality awesome,processor good.READ MORE",Nice product
M happy having this phone but m but worry about bolume.coz I think volume is not enough ..rest all is good in this phone .plzzz suggest me how can I get much volumeREAD MORE,Nice one
"This phone is really good compared to others its specification is not competitive with motorola, redmi note 3, leEco 2, but the thing is brand mateers it works good on 1.2 Ghz quade core processor its really fast donot worry too much about specifications:pros:!,stylish metal body not back cover is plastic2.internet uploading & downloading speed is really superb if extra 32 gb memory card is taken with it3. Android marshmallow where you can control the app requirements to your systemCons:...READ MORE","good phone, superb internet speed"
Good phone........good Battery backup.........good camera........5*READ MORE,Superb
Very good phone... liked it. Overall performance ous also good.READ MORE,Good smartphone with value for money
Nice phone in Samsung family.Recently i bought this.suparb performance.battery is good.other features r also good.READ MORE,Nice iPhone 2 buy
"I am using this phone from past 15 days. It's working good as excepted in terms of battery Backup, camera and display clarity is awsom...READ MORE",Good one
Phone is good. Super amoled screen is good. Ram also everything is fineREAD MORE,Good
"its configuration is perfect for a user. No hanging problem, it working properly.. I am happy to buy this smartphone. I can suggest to other for purchasing to it.READ MORE",believable smartphones
"Samsung Galaxy j5-6 (2016) is compact, handy, designed with stunning look. Touch is smooth, fine and feather. The device has good battery back-up. Back camera is good. There is heating issue arisen while you play games (likes chess etc.). There is no showing of notification when the device is charged which is disadvantage. The sound quality of speaker is very poor. You can't even hear the ringtone properly. The music and video sound quality of speaker is also very poor level.Subrata Nath,1...READ MORE",HONEST REVIEW :
"I bought this phone for my wife after a detailed study. The phone is pretty decent in looks as well as performance wise. The rear camera picture quality is good during day time and average during lowlight conditions (whatelse we can expect from a phone's camera). The front 5mp camera bundled with flash helps in getting nice selfies. The elegant design gives a good grip and rich look. We can expect butter smooth performance during playing games as well internet surfing, chatting, etc.. Overall...READ MORE",Nice phone @ affordable price
"so far its working good , happy with the product..If you compare the price of other mobiles, you wouldn't get much satisfaction .READ MORE",Looks good
Osm mobile good cemra with led flesh light but little heted but long bettry life i happy with it.. :-)READ MORE,Cemra quality is very good
The mobile is good to use as like all other Samsung mobiles. Camera clarity is little low when I compared this with k3 more. Display is up to mark. The product has very little to tell comparing its competitors. It would have been whitewashed if there is no Samsung logo in it. Sure it has an appealing look. Price could be a little less. It's a mixed bag where a upper middle class indian can show off with his gold coated mobile and rich look. Other than it not worth 13k. Special mention - kud...READ MORE,A Mixed bag worth buying for look not specs.
"this handset is value for money in all aspects.(specially RAM,Internal Memory and camera).Camera quality is excellent. Does not get heated while charging.READ MORE",value for money
Using this phone for last two weeks. Let me just directly  go to pros n consProsNo heating issue.. but not sure about higher definition games than tempre run n traffic rider. Batery lyf is amazing.Camera quality too goodNo hanging issueHas got self defined anti virus n booster which works greatConsThe cons dat um specifying are not known to manyNo call recorderCall transfering or call conference  not workingThe ultra power saving mode olso decreases battery by 10%.even if u r doing...READ MORE,Details of my experience
plsss never purchase this item.too mutch problme in phone....................................................................READ MORE,VRY POOR PRODUCT
J5 6 was slim but in this phone heating problem nd the camera was waste I never seen like this camera in Samsung mobiles so plz check it once in camera who was buying for this j5 6READ MORE,Met some expectations
Samsung J5(2016) disapointed me. The mobile is not that expected. When you install Jio apps in it the mobile gets slow and it is just like we are using 512 mb ram not 2gb ram mobile.*The camera quality is very normal *The body is very lite and once it fells down then we have to forget about it.*The mobile comes with AMOLED display but when you compare the quality of the display to higher models it has much difference.*Not RecommendedREAD MORE,Moderate
Good product by samsung...Corns:1.No auto brightness2. Lot of boltware apps.3. Loudspeaker sometimes not working while call is in-progress(software issue).4. No auto flash for front cameraREAD MORE,Very Good
Bad phoneREAD MORE,Utterly Disappointed
hiii..im naveen..i used this mobile for 10 days.mobile and charger both are gettting so much heat..and head phone sound also not satisfied that much..call volume is very less..before using this mobile i used samsung galaxy s duos 2 .head phone sound and call volume better my previous 1 compare to this...and i have tested 50 head phones to mobile for sound but volume is less...and frount cam clarity is just like 2mp..and battery ok..and i did not played any games..so i dont know abt is it supp...READ MORE,i am not satisfied with that mobile
Not getting network coverage properlyREAD MORE,Network issue
#NAME?,J5 Worst phone ever J7 is better
never ever buy...............................................................................................................................................................READ MORE,Worst return policy
Regular apps... that worked in other android platform mobile also not working properly in this mobile...READ MORE,Worst Mobile I ever seen...
"After 1 day usage:Pros: Battery life is good, camera quality is better than Samsung E7, but not better than iPhone 5sMarshmallow is awesome, message thread, call threading is good (iPhone does not hav call thread)very nice touch screen.Cons:1.2 quad core Ghz processor only , should be >1.6 Ghz.Very delicate, expensive, little bit heating observed but not major so far since its just first day(can comment only after few months)Either gorilla glass or 32 gb memory might have been given...READ MORE",samsung j5 - 2016 Gold model review
love to have my samsung j5 -6 .thnxs flipkart for fast fast fast delivery of the product.thnx flipkartits amazingly awesomeREAD MORE,awesome samsung j5 -6
Display is good.Processor is smooth and fine to use.User friendly.Updated version of software's are very good.Front and back Camera quality are very good.READ MORE,Current Product is excellent
I gave a 4 * rating... Cause camera is good..battery is good... There is a battery saver feature..which makes battery run longer with 3000 mah... Data saver feature saves data while running 3g or 4g...  After running update only 8 gb space was remaining in phone.. back panel looks good but quality is not good...READ MORE,Wonderful
This is a phone which you can suggest to your relatives and homeworkers. I bought this phone for my mother and with her average consumption this phone works perfectly for her. The battery life is really good and the contents of the screen are bright with depth. It is easy to use and functions perfectly with all apps. Mail and internet do not face any lag and the cellular call quality is also really good.It is not a gaming phone so no complaints regarding that. Sound quality is above average ...READ MORE,The Household phone(8 months of use)
You have to always compramise with the choice and quality. FLIPKART will deliver available stock not which you ardered and if you face some problem while using they will not accept as you already used product.This is flipkarts profession to get customer cheat and get profit..I got defective product battery will not charge more than 60%.But flipkart not accepting my return request.They already knows this problem that's why they sold this product in offer...Shame on flipkart....READ MORE,Worst experience ever!
Battery power backup very lowREAD MORE,Useless product
Battery is heating...phone is usually getting heated when playing game continously or when surfing internet on 4G....but overall superb phone...READ MORE,Could be way better
Defected product receivedCamera glass was found brokenREAD MORE,Biggest mistake of my life!
This mobile is nothing to switch on.. Very bad....i m not satisfy with flipkart..READ MORE,Not recommended at all
Sexy by look but as samsung always blamed for hanging... So sameREAD MORE,Good choice
"No words to say flipkart, within a day delivery, easy exchange, but some don't know what happen to u people last time purchase washing machine it was not smooth process as usual. KUDOS GUYS THANKS U SO MUCH FOR THIS.....READ MORE",Worth every penny
Excellent phone by Samsung I bought at just 10800 with 10 % HDFC bank cash back....now come on the phone Camera is superb as any comparism to any phone in this price range... no heating issue and overall bulid quality  which is excellent metal frame and back cover which is plastic but it seems metal which gives you a great feel and overall  it a branded  phone...display is not full hd but it is super Amled display which give better than Chinese phone 3100 mah bettery if you are very heavy  us...READ MORE,Terrific
Well today I was thinking of buying the recently launched Redmi 3S Prime for myself. All the negative reviews about that product changed my mind and I decided the idea of buying a new smartphone. My father had bought Samsung Galaxy J5-6 about a month back and is pretty satisfied with it. I then thought of knowing how people think about this smartphone. Well even this is flooded with negative reviews. Now I totally doubt the reviewing system. What do people expect from a 12k phone?The features...READ MORE,Long story - The influence of reviews
EXCLLENTREAD MORE,EXCLLENT
When I see review after place order I was disappointed till product not delivered. But after delivery of mobile I am quite satisfied that j5 2016 is give me more than expectation. Diamond cut frame look very fine. NFC and payment not expected but i strange when I see option of NFC. NFC for wireless payment. Really a great mobile in this segment.READ MORE,"Amazing , cool & stylish phone"
i buy this product and there was some issue in it.. flipkart customer care (priyanka) understand my problem.. and talk very politely..and give me refund with in two days... very fast service..there can be some problems in products..cz product are sealed .. not made by flipkart.. if u have surely some issue than flipkart will definitely  help you.. thank you flipkart.a best e-commerce site..READ MORE,very good customer care service and flipkart service.
"Extra ordinary service from flipkart and e-cart logistics.I am very happy with this phone. Touchwiz has improved a lot and phone is so smooth on marshmallow. Never felt any lags or heat issues. Occasionally becomes little warm, but can never consider as an issue.Good display, full day battery backup with 4g browsing, video, music, downloads....., dual sim and dedicated card slot, metal frame, decent cameras and a front flash (though it functions like torch for selfies).You will love the pe...READ MORE",A good deal at the price range
"redmi note 3 / samsung j5 2016i think their's to many people in us who still confuse about this 2 smarthones.but let me explain the huge difference samsung The brand who hve highbuilt quality of chips.so if want to satisfy with service center and The brand name and lowstress life,then Go ahead and buy it. ->camera is to good in highlight and in low light theirs quite noiseness in this camera.primary and secondry. both of them.->What about touch?? haha here is butter may be because samsun...READ MORE",Go ahead and buy it.
Worst phone in this price.battery backup is very poorREAD MORE,Did not meet expectations
Heating isssusssREAD MORE,Terrific
Fast delivery.. superb phone.. camera quality best colour contrast bst.. no lagging problem.. ..READ MORE,Super phone .
GoodREAD MORE,Worth the money
Phone is really too good as per this range. Delivered fast by FlipkartREAD MORE,Too good & bought at grt deal
Good phone in this priceREAD MORE,Value-for-money
Best phone in this priceREAD MORE,Good quality product
very good flipkartREAD MORE,Mind-blowing purchase
GoodREAD MORE,Perfect product!
Very goodREAD MORE,Super!
good features samsung brandedREAD MORE,samsung j5 6
Its good. Only heating is the problem.READ MORE,Nice product
GoodREAD MORE,Wonderful
HP is okREAD MORE,Simply awesome
it is really good product of samsungREAD MORE,nice phone
"No LED notification, speaker  sound is very low, otherwise it is a very good  mobile. AMOLED IS SUPERB.READ MORE",Good quality product
Good ...nice look....READ MORE,Super!
GoodREAD MORE,Really Nice
It get heated when surfing the internet and when it heated then battery getting discharged fastlyREAD MORE,Not good
Amazing product....READ MORE,Superb........
Good phone in his Range.excellent features and camera is awsm.everything is good in this phn.READ MORE,Highly recommended
Good Product I am Loving itREAD MORE,Good quality product
mobile is good quality but back speaker is very very low and bad quality.READ MORE,Expected a better product
Bad performanceREAD MORE,Very poor
Good product. ..... Flipkart is bestREAD MORE,Terrific purchase
SuperREAD MORE,Good choice
Very good mobile & too good Flipkart service. Thanks for the phone & your better courier service.READ MORE,Good
Good mobileREAD MORE,Worth every penny
NiceREAD MORE,Mind-blowing purchase
I m happy with this item.READ MORE,Awesome
a good foneREAD MORE,Brilliant
SuperREAD MORE,Wonderful
"Only Negative is that front camera is not that good, All other specifications are as perfect as on paperREAD MORE",Brilliant
Supar mobileREAD MORE,Excellent
Good phone .....but .....rear camera not up to the expectation ......need to improve..READ MORE,good
l like samsung mobiles...j5 is fav..bcoz i also used..READ MORE,Brilliant
Good productAmazingREAD MORE,Great product
it good to use and well delivered .READ MORE,Great product
I am happyREAD MORE,Super!
Very good phone (paisa vsool)READ MORE,Good
goodREAD MORE,Must buy!
Heating issuesREAD MORE,Samsung j5 2p16
GooodREAD MORE,Must buy!
There is some heating issue but nice phoneREAD MORE,Nice product
ThanxREAD MORE,Terrific purchase
AwesomeREAD MORE,Brilliant
On time..... Nice to see thatREAD MORE,Very Good
Nice phoneREAD MORE,Good
The phone is good and packed well but delivery is worst .READ MORE,Worst delivery service
Good experienceREAD MORE,Highly recommended
"I like it Samsung  j5,6 Thanks flipkart on time deliveryREAD MORE",Best in the market!
Some time phone hangedREAD MORE,Hated it!
It's awesomeREAD MORE,Worth every penny
Phone look is very nice .. features ok .it have battery heating prob.but overall ok..READ MORE,Good choice
Good mobileREAD MORE,Fabulous!
Nice fone I love this  foneREAD MORE,thanx to flipkart    I got my phone in 3 days
Best mobileREAD MORE,Highly recommended
SuperREAD MORE,Excellent
very goodREAD MORE,Terrific
Battery is so poorREAD MORE,Moderate
Everything is good except speaker sound. Speakers sound is too low we have to put ringtone which has higher sound.READ MORE,Wonderful
It is a good phoneREAD MORE,Good quality product
good oneREAD MORE,Awesome
Good mobile with nice features... Finger is not there so that's a draw back...READ MORE,Good quality product
"Awesome product, Worth Budget Thanks to flipkart for dwlivering in time.READ MORE",Classy product
BestREAD MORE,Terrific
Front camera not good overall good product thanks to flipkart to deliver within three daysREAD MORE,Worth the money
Good  productREAD MORE,Wonderful
Awesome product ND awesome deliveryREAD MORE,Fabulous!
This mobile is really good. Delivery time is also perfectREAD MORE,Excellent
Good phone but no light sensorREAD MORE,Good phone
Back panel is not realREAD MORE,Fair
ony problem is processorREAD MORE,Wonderful
"Very good phone,but heating problem is a issue.READ MORE",Pretty good
Nice  phoneREAD MORE,Great product
Very good product.. but sound little poor....READ MORE,Must buy!
"Good phone, my bad luck stolen by Delhi pickpocketsREAD MORE",Worth the money
Good productREAD MORE,Best in the market!
Nice phoneREAD MORE,Fabulous!
Excellent ProductREAD MORE,Great product
Some problems are there like we restart phone to on the mobile dataREAD MORE,Decent product
Its good Pretty Ok Ok..Not so good camera...& Screen Quality...okBrand Without Hang incompleteU can choose better Xiomi Mi products...They give u best thing...Mi not Redmi ..READ MORE,Nice
Good Phone at nice price.READ MORE,Delightful
Nice product but front flash is not satisfied me .ThanksREAD MORE,Good quality product
It's superREAD MORE,Great product
Nice phone......works quite faster.....no lagging  problem.......overall its goodREAD MORE,Highly recommended
GudREAD MORE,Brilliant
Very Nice but heating problemREAD MORE,Terrific purchase
Amazing phone real smartphoneREAD MORE,Awesome
Very fast delivery & good product great offerREAD MORE,Excellent
Nice phoneREAD MORE,Great product
AwesomeREAD MORE,Terrific
Good fone value 4 money.... working fineREAD MORE,Fair
GoodREAD MORE,Does the job
Phone is good but  havvy heating after  use internet........so please solutionREAD MORE,Decent product
Value for money This model is good and looking lovely Thnk u flipkartREAD MORE,Worth every penny
Phone is good but prices changed alotREAD MORE,Worth every penny
NiceREAD MORE,Worth the money
good....READ MORE,Must buy!
NiceREAD MORE,Best in the market!
Good productREAD MORE,Worth every penny
Too good product i got in BIG 10 THANK U FLIPKARTREAD MORE,Worth every penny
I love itREAD MORE,Value-for-money
Awesome phone and fast delivery!READ MORE,Does the job
AwesomeREAD MORE,5 star
Nice HandsetGot it in a nice dealREAD MORE,Good choice
AmazingREAD MORE,Best in the market!
Excellent phoneREAD MORE,Terrific purchase
Good performanceREAD MORE,Awesome
Fastest deliveryVery nice productREAD MORE,Terrific
Phone doesn't hangs but sometimes it gets hot otherwise it's okREAD MORE,Not good not bad
Good quality worth for rs/-8991 flipkart service is goodREAD MORE,Very Good
Superb phone. Deserve 5READ MORE,Worth every penny
Samsung j5  intranet on over heat  product is weast camara clariry is good  sound is veery swolyREAD MORE,Waste of money!
Battery draining fast. Not so much specificationsREAD MORE,Nice
Nice phone i affordable priceREAD MORE,Worth the money
Nice phone all is wellREAD MORE,Awesome
camera quality awsm...READ MORE,Heated
Awesome phone with 2gb Ram.READ MORE,Highly recommended
OkREAD MORE,Worth the money
nice phoneREAD MORE,nice
Vry Good productREAD MORE,Simply awesome
Best phone this price for Samsung lover.READ MORE,Really Nice
I am not seeing major difference with other Samsung phonesREAD MORE,Delightful
Got it a good exchange price and have never thought of exchanging it because of its qualityREAD MORE,Mind-blowing purchase
Bad experience..loosersREAD MORE,bad
nice productREAD MORE,Best in the market!
Value for moneyREAD MORE,4 star
awsm prodctREAD MORE,Great product
Good budget phone from samsungREAD MORE,Worth the money
Heating up within 10-15 min after normal useREAD MORE,Moderate
Very niceREAD MORE,best service
okREAD MORE,Bad quality
Nice phone. Its been a year and still working good without any issue.READ MORE,Worth every penny
Very niceREAD MORE,Awesome
Good mobileREAD MORE,Wonderful
A good phone from samsung. Does the basics right. Looks good. Battery backup is good.Processor is a little low end and performing heavy tasks is a little problematic. But overall a good phone.READ MORE,Good quality product
GOODREAD MORE,Brilliant
Very nice productREAD MORE,Highly recommended
Best of samsung around 11kREAD MORE,Worth every penny
Great productREAD MORE,Worth the money
NycREAD MORE,Classy product
Very good product from samsungREAD MORE,Highly recommended
Lovely pjonyREAD MORE,Nice product
GoodREAD MORE,Delightful
Nice product.......READ MORE,Terrific
To goodREAD MORE,working very good
Phone is super awsomeREAD MORE,Wonderful
Good performanceREAD MORE,Terrific purchase
Good phone at budget priceREAD MORE,Highly recommended
goodREAD MORE,Excellent
satisfied vt itREAD MORE,good fone
Good product and nice work thank you.READ MORE,Perfect product!
Nice camera clarity. Amoled display is worthREAD MORE,Good Phone
"Low rate, Branded cell and trust of flipkart gives me more happiness....READ MORE",Terrific purchase
Nice product.. useful for normal users...READ MORE,Just wow!
Budgeted phone and front flash is an added advantage. Nice phone with this price rangeREAD MORE,Awesome
Only heating problem otherwise mobile is goodREAD MORE,Nice product
Awsm mobile using since 8 mnths . Very goodREAD MORE,Awesome
Best phoneREAD MORE,Best in the market!
Very nice phone...value for money productREAD MORE,Simply awesome
good phone at the priceREAD MORE,Perfect product!
Very good phoneGood built qualityCamera is goodREAD MORE,Value-for-money
If you are not a heavy user then this is good phone.READ MORE,Value-for-money
Nice productREAD MORE,Wonderful
Plz dont buy this mobile the mibile is going to be over heating while we using like internet and games  within few minutesREAD MORE,Waste of money (over heating problem)
Good Mobile but not best.....READ MORE,Awesome
Best phone for the price. This is the cheapest phone that is currently available in India which has NFC. I purchased this phone exclusively to use the NFC and it works like a charm. The look and feel of the phone exactly replicates Galaxy S6. Thanks to Flipkart for delivering it before the scheduled time.READ MORE,Mind-blowing purchase
Excellent productREAD MORE,Brilliant
nice phoneREAD MORE,Good choice
"excellent phone , go for it guyzREAD MORE",Classy product
Awesome phone Its camera greatDesign goodBattery averageREAD MORE,Classy product
Good at this price rangeREAD MORE,Very Good
Its amazingREAD MORE,Wonderful
very GoodREAD MORE,Perfect product!
Good mobile at price...working good till yetREAD MORE,Value-for-money
Quiet good handset But the volume is very low. Sometimes u couldnot hear properly. Charging last for a very short time.READ MORE,Good
Lot of heating issue ... cannot hold it after charging.. don't take this phoneREAD MORE,Decent product
I brought this ph for my father this a fabulous ph and flipkart delivered it very fast thank you so much flipkartREAD MORE,Brilliant
Nice phoneREAD MORE,Brilliant
Product is awasomeREAD MORE,Just okay
IT'S A VERY GOOD PHONE IN THIS PRICE RANGEREAD MORE,Excellent
using it from last 3 months quality is too good go for itREAD MORE,Perfect product!
NiceREAD MORE,Could be way better
Phone is good but samsung service centers services are very badREAD MORE,Samsung j5-6
Best phone . Fast delivery.READ MORE,Worth every penny
Gud phone...wid awesum features....I ordered fr golden color phone....nd it really looks stylish.Phone heats up soonREAD MORE,Really Nice
Very nice product and it can be purchased without thinking even...READ MORE,Classy product
Mind blowing purchase!READ MORE,Super!
Excellent productREAD MORE,Nice
Very good productREAD MORE,Brilliant
It is not that expectedREAD MORE,Decent product
Nice phoneREAD MORE,Wonderful
"Awesome Product, Thanks Flipkart...READ MORE",Just wow!
Ok not that great for the price we payREAD MORE,Slightly disappointed
GoodREAD MORE,Not recommended at all
Good productREAD MORE,Wonderful
Super mobile.  .READ MORE,Perfect product!
Excellent Product. Go for itREAD MORE,Good choice
Very nice and internal storage also goodREAD MORE,Wonderful
Good productREAD MORE,Terrific
Brand is Brand No Way to otherREAD MORE,Classy product
NiceREAD MORE,Excellent
One of the best buys in Flipkart till date.The best smartphone one can look up toREAD MORE,Must buy!
GoodREAD MORE,Delightful
nice phone ..READ MORE,Classy product
In this price I can get a lot mobile phonesREAD MORE,Could be way better
Its was awsm product by samsung n very fast delivery by flipkartREAD MORE,Wonderful
It's okREAD MORE,Very Good
Superb product...superrREAD MORE,Great product
GudREAD MORE,Terrific purchase
At this priceREAD MORE,Good product
Nice productREAD MORE,Just okay
Really super mobile this price range....battery life is also good...i liked it....READ MORE,Simply awesome
Nice productREAD MORE,Pretty good
Best product in less costtt with better serive and less chargeREAD MORE,Excellent
NiceREAD MORE,Terrific
GoodREAD MORE,Highly recommended
Good phoneREAD MORE,God phone
Good phone.....READ MORE,Great product
Good phone to be go with at this priceREAD MORE,Best in the market!
Superb mobileREAD MORE,Just wow!
Superb mobile at this price range.all are goodREAD MORE,Worth every penny
Nice mobile I like so good expariance from flip kartREAD MORE,Simply awesome
Good product n timely delivery by flipkart.READ MORE,Nice buy!
Thnxs for this awesome productREAD MORE,Perfect product!
Nice mobile by samsungREAD MORE,Best in the market!
GREAT FLIPKART....AWESOME PHONE ....READ MORE,Classy product
NiceREAD MORE,Highly recommended
Nice productREAD MORE,Great product
Nice product and amazing delivery processREAD MORE,Wonderful
NiceREAD MORE,Terrific purchase
M buy it in 13500 now ex.price is only 3400It have too much heating problem Battery draining so fastVery slow charging Complete charging time is 3 to 4 hoursI suggest never buy itREAD MORE,worst of money
Very nice mobileREAD MORE,Awesome
Thanks for flipkart for delivered on time. Product is good at the price range.READ MORE,Worth the money
The best mobileREAD MORE,Worth every penny
"Camera awsome, flash light awsome, Batery awsome, over all beautiful , i realy liked it, thnks samsung ,its my 1st samsung phone and also thnks flip-kartREAD MORE",awsome
Nice mobile very fast delivery Good productREAD MORE,Wonderful
GoodREAD MORE,Must buy!
Product is very goodREAD MORE,Best performance
fast delivery by flipkart...nice phone camera is ipressive.so my advice is go for it guys...READ MORE,must buy
Excellent product. No issues..!! Worth buying.READ MORE,Brilliant
AwesomeREAD MORE,Highly recommended
Last year I puruched this phone works wellREAD MORE,Nice product
SuperbREAD MORE,Wonderful
All the features are fineREAD MORE,Nice Mobile
It's a good phone!READ MORE,Bad quality
NiceREAD MORE,Awesome
Good phone but design is same like other Samsung phonesREAD MORE,Wonderful
This is the perfect phone under 11kREAD MORE,Highly recommended
Excellent buyREAD MORE,Classy product
Samsung is a best....Nice clarity...READ MORE,Highly recommended
Just a par product .. not much to expect ..READ MORE,Does the job
excellentREAD MORE,Super!
Nice phone in this range...READ MORE,Nice
Good qualityREAD MORE,Highly recommended
Heat issueREAD MORE,Hated it!
Very goodREAD MORE,Very good
Its just osm mob or thanks to flipkart to deliver me at the time or Perfact situationREAD MORE,Wonderful
Nice ....READ MORE,Just wow!
Good phone with great features and available at chip price.READ MORE,Wonderful
NiceREAD MORE,Just okay
GoodREAD MORE,Good
SuperbREAD MORE,Nice product
"Very good product , delivered very fastlyREAD MORE",Mind-blowing purchase
Best ph in this priceREAD MORE,Must buy!
Great dealREAD MORE,nice phone
One of the best mobile i have ever used...READ MORE,Simply awesome
GoodREAD MORE,Just wow!
"Very Nice Product, Worth BuyingREAD MORE",Must buy!
Very nice mobileREAD MORE,Really Nice
Good lookingREAD MORE,Must buy!
Better than galaxy j5READ MORE,Excellent
Product is good but flipkart new policy on mobile phones return will harrash everyoneREAD MORE,Unsatisfactory
Good SmartphoneREAD MORE,Great product
It's good phone I'm use this phone I did not find any problemsREAD MORE,Very Good
The product was very niceREAD MORE,Must buy!
Product is good in condition and delivered on timeREAD MORE,Excellent
Best smartphones in this rangeREAD MORE,Perfect product!
superb one.READ MORE,Brilliant
Super phoneREAD MORE,Nice
Very nice productREAD MORE,Slightly disappointed
Excellent phoneREAD MORE,Perfect product!
Phone is very good...i like itREAD MORE,Terrific purchase
Very good productREAD MORE,Worth the money
Valu for MoneyREAD MORE,Simply awesome
On time delivery by Flipkart people.Phone was awesome.nice phone in budget.READ MORE,Very nice
Good mobileREAD MORE,Excellent
Gud mobile...perfomance also good....bt backup is nly average....overall best mobile....gudREAD MORE,Very Good
Nice phone..But magnetometer ( compass) is missing..READ MORE,Good quality product
Awesome product working excellentREAD MORE,Brilliant
GoodREAD MORE,Terrific
Nice phoneREAD MORE,Value-for-money
Nice productREAD MORE,Wonderful
NiceREAD MORE,Good
Good performance phone in a low budgetREAD MORE,Super!
Look great ...READ MORE,Great product
Nice product. Budget phone but heating issue due to steel body..READ MORE,Nice
Good lookingREAD MORE,best performance mobile
Very good mobile worthyREAD MORE,Terrific purchase
good mobile.....READ MORE,Nice product
Nyc productREAD MORE,Delightful
GoodREAD MORE,Mind-blowing purchase
I was brought this mobile  8 month before still now I'm not facing any issue totally product is good ...READ MORE,Brilliant
Nice battery back-up goodREAD MORE,Mind-blowing purchase
Nice productREAD MORE,Good
Good j series by Samsung....good features...a bit slow after few months but still good in the budgetREAD MORE,Does the job
